UniqueID,DateOfBite,Species,Breed,Age,Gender,SpayNeuter,Borough,ZipCode,CLEANBREED,,,,,,
230,June 04 2015,DOG,Pit Bull,4,M,FALSE,Brooklyn,11226,PIT BULL,,,,,,
231,June 04 2015,DOG,Yorkshire Terrier,2,M,TRUE,Brooklyn,11214,YORKSHIRE TERRIER,,,,,,
232,June 06 2015,DOG,Pit Bull,,U,FALSE,Brooklyn,,PIT BULL,,,,,,
233,June 06 2015,DOG,Chow Chow,4,M,FALSE,Brooklyn,11234,CHOW CHOW,,,,,,
234,June 05 2015,DOG,Lhasa Apso,5,M,TRUE,Brooklyn,11231,LHASA APSO,,,,,,
235,June 06 2015,DOG,"Poodle, Standard",3,M,TRUE,Brooklyn,11234,"POODLE, STANDARD",,,,,,
236,June 07 2015,DOG,"Pointer, German Shorthaired",8,F,TRUE,Brooklyn,11231,"POINTER, GERMAN SHORTHAIRED",,,,,,
237,May 30 2015,DOG,SCHNOODLE,,U,FALSE,Brooklyn,11211,SCHNOODLE,,,,,,
238,May 30 2015,DOG,Chow Chow,2,M,FALSE,Brooklyn,11208,CHOW CHOW,,,,,,
239,June 05 2015,DOG,Yorkshire Terrier,,U,FALSE,Brooklyn,11221,YORKSHIRE TERRIER,,,,,,
240,June 10 2015,DOG,Pit Bull,,U,FALSE,Brooklyn,11237,PIT BULL,,,,,,
